wl,LightSet,Watts/sr/m2,Color
350,Red10,0.00016668,Red
350,Red100,6.9632e-07,Red
350,Red20,0,Red
350,Red30,0,Red
350,Red40,6.6076e-07,Red
350,Red50,0,Red
350,Red60,0,Red
350,Red70,2.4936e-06,Red
350,Red80,0,Red
350,Red90,2.675e-05,Red
350,White10,1.2727e-05,White
350,White100,7.1529e-05,White
350,White20,2.5382e-05,White
350,White30,0,White
350,White40,0,White
350,White50,0,White
350,White60,5.5033e-05,White
350,White70,4.5838e-05,White
350,White80,6.4124e-05,White
350,White90,6.9062e-05,White
351,Red10,5.3223e-05,Red
351,Red100,0,Red
351,Red20,0,Red
351,Red30,0,Red
351,Red40,0,Red
351,Red50,0,Red
351,Red60,0,Red
351,Red70,0,Red
351,Red80,0,Red
351,Red90,4.4475e-05,Red
351,White10,1.5934e-05,White
351,White100,8.2075e-05,White
351,White20,3.2165e-05,White
351,White30,0,White
351,White40,0,White
351,White50,0,White
351,White60,4.3277e-05,White
351,White70,5.3124e-05,White
351,White80,5.8042e-05,White
351,White90,6.0486e-05,White
352,Red10,2.3382e-05,Red
352,Red100,0,Red
352,Red20,0,Red
352,Red30,0,Red
352,Red40,0,Red
352,Red50,0,Red
352,Red60,0,Red
352,Red70,0,Red
352,Red80,0,Red
352,Red90,0,Red
352,White10,8.5929e-06,White
352,White100,8.1408e-05,White
352,White20,1.5741e-05,White
352,White30,0,White
352,White40,0,White
352,White50,0,White
352,White60,4.3409e-05,White
352,White70,4.7202e-05,White
352,White80,6.2427e-05,White
352,White90,6.5295e-05,White
353,Red10,0.00012284,Red
353,Red100,0,Red
353,Red20,0,Red
353,Red30,0,Red
353,Red40,0,Red
353,Red50,0,Red
353,Red60,0,Red
353,Red70,6.8846e-06,Red
353,Red80,0,Red
353,Red90,1.4105e-06,Red
353,White10,1.1294e-05,White
353,White100,6.7417e-05,White
353,White20,1.3082e-05,White
353,White30,0,White
353,White40,0,White
353,White50,0,White
353,White60,4.5507e-05,White
353,White70,3.775e-05,White
353,White80,7.1071e-05,White
353,White90,7.6696e-05,White
354,Red10,0.00013903,Red
354,Red100,5.2873e-06,Red
354,Red20,0,Red
354,Red30,0,Red
354,Red40,4.4722e-05,Red
354,Red50,0,Red
354,Red60,0,Red
354,Red70,3.7643e-05,Red
354,Red80,0,Red
354,Red90,8.162e-05,Red
354,White10,1.4584e-05,White
354,White100,5.6106e-05,White
354,White20,2.3041e-05,White
354,White30,0,White
354,White40,0,White
354,White50,0,White
354,White60,4.2836e-05,White
354,White70,4.7489e-05,White
354,White80,6.1085e-05,White
354,White90,6.3404e-05,White
355,Red10,0.00026218,Red
355,Red100,0.000192,Red
355,Red20,4.5446e-05,Red
355,Red30,8.972e-05,Red
355,Red40,9.6169e-05,Red
355,Red50,2.2582e-05,Red
355,Red60,3.8107e-05,Red
355,Red70,7.8431e-05,Red
355,Red80,6.1159e-05,Red
355,Red90,0.00014401,Red
355,White10,5.871e-06,White
355,White100,3.2066e-05,White
355,White20,2.3607e-05,White
355,White30,0,White
355,White40,0,White
355,White50,0,White
355,White60,4.3572e-05,White
355,White70,3.4794e-05,White
355,White80,2.7962e-05,White
355,White90,3.6837e-05,White
356,Red10,0.00025967,Red
356,Red100,0.00013022,Red
356,Red20,3.9556e-05,Red
356,Red30,0.00011384,Red
356,Red40,1.0269e-05,Red
356,Red50,3.0969e-05,Red
356,Red60,5.9481e-05,Red
356,Red70,4.7679e-06,Red
356,Red80,4.6942e-05,Red
356,Red90,7.6919e-05,Red
356,White10,2.4142e-06,White
356,White100,4.3101e-05,White
356,White20,2.4844e-05,White
356,White30,0,White
356,White40,0,White
356,White50,0,White
356,White60,3.9373e-05,White
356,White70,2.828e-05,White
356,White80,3.5067e-05,White
356,White90,6.0191e-05,White
357,Red10,0.00012859,Red
357,Red100,0,Red
357,Red20,0,Red
357,Red30,2.8525e-06,Red
357,Red40,0,Red
357,Red50,0,Red
357,Red60,0.00011107,Red
357,Red70,0,Red
357,Red80,0,Red
357,Red90,0,Red
357,White10,6.8468e-07,White
357,White100,6.2269e-05,White
357,White20,2.1457e-05,White
357,White30,0,White
357,White40,0,White
357,White50,0,White
357,White60,4.7834e-05,White
357,White70,4.935e-05,White
357,White80,5.7881e-05,White
357,White90,8.0194e-05,White
358,Red10,0.0001146,Red
358,Red100,0,Red
358,Red20,0,Red
358,Red30,0,Red
358,Red40,0,Red
358,Red50,0,Red
358,Red60,0.00011294,Red
358,Red70,7.4748e-06,Red
358,Red80,0,Red
358,Red90,0,Red
358,White10,4.5546e-06,White
358,White100,6.4643e-05,White
358,White20,2.7476e-05,White
358,White30,0,White
358,White40,0,White
358,White50,0,White
358,White60,5.0509e-05,White
358,White70,5.7618e-05,White
358,White80,6.2336e-05,White
358,White90,6.4951e-05,White
359,Red10,0.00012283,Red
359,Red100,2.5442e-05,Red
359,Red20,0,Red
359,Red30,0,Red
359,Red40,0,Red
359,Red50,0,Red
359,Red60,0,Red
359,Red70,0,Red
359,Red80,0,Red
359,Red90,0,Red
359,White10,8.6376e-06,White
359,White100,6.6881e-05,White
359,White20,2.9737e-05,White
359,White30,0,White
359,White40,0,White
359,White50,0,White
359,White60,4.4621e-05,White
359,White70,3.9579e-05,White
359,White80,6.0933e-05,White
359,White90,5.971e-05,White
360,Red10,0.00016783,Red
360,Red100,1.9576e-05,Red
360,Red20,0,Red
360,Red30,0,Red
360,Red40,0,Red
360,Red50,0,Red
360,Red60,0,Red
360,Red70,0,Red
360,Red80,0,Red
360,Red90,1.966e-05,Red
360,White10,1.3154e-05,White
360,White100,5.9271e-05,White
360,White20,2.3831e-05,White
360,White30,0,White
360,White40,0,White
360,White50,0,White
360,White60,3.6908e-05,White
360,White70,3.7674e-05,White
360,White80,5.5003e-05,White
360,White90,6.4531e-05,White
361,Red10,0.00013259,Red
361,Red100,0,Red
361,Red20,0,Red
361,Red30,0,Red
361,Red40,0,Red
361,Red50,0,Red
361,Red60,3.0749e-06,Red
361,Red70,0,Red
361,Red80,0,Red
361,Red90,0,Red
361,White10,1.7431e-05,White
361,White100,5.5255e-05,White
361,White20,2.7946e-05,White
361,White30,0,White
361,White40,0,White
361,White50,0,White
361,White60,2.5257e-05,White
361,White70,4.3979e-05,White
361,White80,5.5989e-05,White
361,White90,7.165e-05,White
362,Red10,8.6451e-05,Red
362,Red100,1.5245e-05,Red
362,Red20,0,Red
362,Red30,3.0629e-06,Red
362,Red40,0,Red
362,Red50,1.7803e-05,Red
362,Red60,0,Red
362,Red70,1.7612e-05,Red
362,Red80,2.9206e-06,Red
362,Red90,0,Red
362,White10,1.9674e-05,White
362,White100,4.9034e-05,White
362,White20,2.9563e-05,White
362,White30,0,White
362,White40,0,White
362,White50,0,White
362,White60,2.0408e-05,White
362,White70,3.8863e-05,White
362,White80,5.099e-05,White
362,White90,5.5922e-05,White
363,Red10,0.00013037,Red
363,Red100,9.9527e-05,Red
363,Red20,3.2367e-05,Red
363,Red30,7.9008e-05,Red
363,Red40,5.6746e-06,Red
363,Red50,9.8708e-05,Red
363,Red60,1.9899e-06,Red
363,Red70,8.6294e-05,Red
363,Red80,0,Red
363,Red90,6.605e-05,Red
363,White10,1.8134e-05,White
363,White100,4.9003e-05,White
363,White20,2.8653e-05,White
363,White30,0,White
363,White40,0,White
363,White50,0,White
363,White60,4.666e-05,White
363,White70,3.6783e-05,White
363,White80,4.919e-05,White
363,White90,4.9887e-05,White
364,Red10,0.00018553,Red
364,Red100,7.8893e-05,Red
364,Red20,2.3196e-05,Red
364,Red30,4.6552e-05,Red
364,Red40,2.8154e-07,Red
364,Red50,0.00010004,Red
364,Red60,3.1416e-05,Red
364,Red70,7.1245e-05,Red
364,Red80,0,Red
364,Red90,5.7205e-05,Red
364,White10,1.1445e-05,White
364,White100,5.0428e-05,White
364,White20,2.1248e-05,White
364,White30,0,White
364,White40,0,White
364,White50,0,White
364,White60,5.9697e-05,White
364,White70,3.0947e-05,White
364,White80,4.3458e-05,White
364,White90,5.3571e-05,White
365,Red10,0.00013054,Red
365,Red100,3.4981e-06,Red
365,Red20,0,Red
365,Red30,0,Red
365,Red40,0,Red
365,Red50,4.1776e-05,Red
365,Red60,1.2915e-05,Red
365,Red70,3.2445e-05,Red
365,Red80,0,Red
365,Red90,4.0363e-06,Red
365,White10,1.5798e-05,White
365,White100,5.0751e-05,White
365,White20,2.5526e-05,White
365,White30,0,White
365,White40,0,White
365,White50,0,White
365,White60,4.2985e-05,White
365,White70,2.4349e-05,White
365,White80,4.5014e-05,White
365,White90,5.3014e-05,White
366,Red10,6.431e-05,Red
366,Red100,0,Red
366,Red20,0,Red
366,Red30,0,Red
366,Red40,0,Red
366,Red50,0,Red
366,Red60,0,Red
366,Red70,2.8578e-05,Red
366,Red80,2.6599e-06,Red
366,Red90,0,Red
366,White10,2.259e-05,White
366,White100,5.3825e-05,White
366,White20,3.4712e-05,White
366,White30,0,White
366,White40,0,White
366,White50,0,White
366,White60,4.2886e-05,White
366,White70,4.0953e-05,White
366,White80,6.2618e-05,White
366,White90,5.6467e-05,White
367,Red10,7.9039e-05,Red
367,Red100,4.5776e-05,Red
367,Red20,0,Red
367,Red30,5.3383e-05,Red
367,Red40,1.3223e-05,Red
367,Red50,0,Red
367,Red60,4.6177e-05,Red
367,Red70,0.00019871,Red
367,Red80,9.0247e-05,Red
367,Red90,6.0827e-05,Red
367,White10,1.3835e-05,White
367,White100,6.4525e-05,White
367,White20,2.4889e-05,White
367,White30,0,White
367,White40,0,White
367,White50,0,White
367,White60,5.2825e-05,White
367,White70,6.3518e-05,White
367,White80,7.3382e-05,White
367,White90,6.7786e-05,White
368,Red10,5.5803e-05,Red
368,Red100,2.8312e-05,Red
368,Red20,1.1365e-06,Red
368,Red30,5.0774e-05,Red
368,Red40,1.378e-05,Red
368,Red50,0,Red
368,Red60,1.5769e-05,Red
368,Red70,0.00027339,Red
368,Red80,1.8042e-05,Red
368,Red90,1.1933e-05,Red
368,White10,8.2369e-06,White
368,White100,7.0489e-05,White
368,White20,1.5062e-05,White
368,White30,0,White
368,White40,0,White
368,White50,0,White
368,White60,5.1166e-05,White
368,White70,5.9196e-05,White
368,White80,6.8377e-05,White
368,White90,7.5448e-05,White
369,Red10,5.4322e-05,Red
369,Red100,1.4047e-05,Red
369,Red20,0,Red
369,Red30,0,Red
369,Red40,0,Red
369,Red50,0,Red
369,Red60,0,Red
369,Red70,0.00014642,Red
369,Red80,0,Red
369,Red90,2.4715e-06,Red
369,White10,7.9536e-06,White
369,White100,7.7354e-05,White
369,White20,1.4912e-05,White
369,White30,0,White
369,White40,0,White
369,White50,0,White
369,White60,5.5654e-05,White
369,White70,5.8463e-05,White
369,White80,7.2139e-05,White
369,White90,7.4649e-05,White
370,Red10,0.00014407,Red
370,Red100,2.9805e-05,Red
370,Red20,0,Red
370,Red30,0,Red
370,Red40,0,Red
370,Red50,0,Red
370,Red60,0,Red
370,Red70,4.4802e-06,Red
370,Red80,0,Red
370,Red90,6.6019e-05,Red
370,White10,7.2093e-06,White
370,White100,7.8966e-05,White
370,White20,1.6582e-05,White
370,White30,0,White
370,White40,0,White
370,White50,0,White
370,White60,5.3588e-05,White
370,White70,5.2699e-05,White
370,White80,6.9181e-05,White
370,White90,6.6639e-05,White
371,Red10,0.00012463,Red
371,Red100,0,Red
371,Red20,0,Red
371,Red30,0,Red
371,Red40,0,Red
371,Red50,0,Red
371,Red60,0,Red
371,Red70,0,Red
371,Red80,0,Red
371,Red90,3.5488e-05,Red
371,White10,1.7431e-05,White
371,White100,7.9067e-05,White
371,White20,2.7376e-05,White
371,White30,0,White
371,White40,0,White
371,White50,0,White
371,White60,5.1623e-05,White
371,White70,5.4319e-05,White
371,White80,6.654e-05,White
371,White90,6.5023e-05,White
372,Red10,6.4332e-05,Red
372,Red100,0,Red
372,Red20,0,Red
372,Red30,0,Red
372,Red40,0,Red
372,Red50,0,Red
372,Red60,0,Red
372,Red70,0,Red
372,Red80,0,Red
372,Red90,0,Red
372,White10,2.1757e-05,White
372,White100,7.7589e-05,White
372,White20,3.418e-05,White
372,White30,0,White
372,White40,0,White
372,White50,0,White
372,White60,5.5182e-05,White
372,White70,6.4748e-05,White
372,White80,6.6763e-05,White
372,White90,6.9574e-05,White
373,Red10,9.4324e-05,Red
373,Red100,1.9691e-05,Red
373,Red20,0,Red
373,Red30,3.2815e-06,Red
373,Red40,0,Red
373,Red50,0,Red
373,Red60,0,Red
373,Red70,2.0196e-06,Red
373,Red80,0,Red
373,Red90,0,Red
373,White10,1.4524e-05,White
373,White100,8.9319e-05,White
373,White20,2.3373e-05,White
373,White30,0,White
373,White40,0,White
373,White50,0,White
373,White60,5.8947e-05,White
373,White70,6.9759e-05,White
373,White80,6.6424e-05,White
373,White90,7.5031e-05,White
374,Red10,0.00011399,Red
374,Red100,2.0353e-05,Red
374,Red20,1.5951e-05,Red
374,Red30,1.0844e-05,Red
374,Red40,0,Red
374,Red50,0,Red
