site,brightness_dark,brightness_white100,brightness_dark_median,brightness_white100_median
GRTE01,5.9323017995386,20.132521756257407,1.1509595157233108,3.797865145788716
GRTE02,4.0716344641009,3.5105571492984264,4.1526499391865075,3.4084028608315684
GRTE03,3.696210798530289,3.9189134107521553,3.7697693096993627,3.8071838469011308
GRTE05,8.478699983160405,11.923223494302649,4.05018685144819,4.458263919906346
GRTE06,3.09161302235551,3.623301620926467,3.119455568053344,3.623022372770541
GRTE08,4.353399915307034,2.162581036947737,4.218963285260095,0.9414629002940372
GRTE09,4.022784328244797,,3.9519330602702785,
GRTE10,2.696863147035853,,2.695565379808304,
GRTE11,4.332618930815996,25.94283124419522,4.197851502058462,5.6910078393998615
GRTE13,2.7854070371606348,2.9887604951025395,2.713826445457356,2.966480263334862
GRTE14,24.041395110836493,9.58157571877725,4.422103790763123,4.323274334947093
GRTE15,3.879444331546265,3.6307817156188293,3.353009579938117,3.5559624216197587
GRTE16,15.364042435300655,83.16741575828615,5.706902451062727,8.777417034317189
GRTE17,8.801186611548678,28.61207070872869,2.9122039359440763,3.8660910040222998
