contrast,intensity,ratio,SE,df,null,z.ratio,p.value,lower_CL,upper_CL,species
W / R,10,1.3937025257374773,0.3872987871169452,Inf,1,1.1945787905051966,0.2322516399651493,0.6345969029882648,2.15280814848669,Epfu
W / R,30,0.38967589815811876,0.1731570612431965,Inf,1,-2.120884461663552,0.0339315265800846,0.05028805812145365,0.7290637381947839,Epfu
W / R,50,0.833922970972089,0.2195285656652767,Inf,1,-0.6898978620927905,0.4902584203947161,0.40364698226814666,1.2641989596760315,Epfu
W / R,70,0.830411735574951,0.1812606923961807,Inf,1,-0.8513618076409974,0.39456840062540355,0.4751407784784368,1.1856826926714652,Epfu
W / R,100,1.0696752571097303,0.3264448150015926,Inf,1,0.22070526252868555,0.8253219335988919,0.4298434197066088,1.7095070945128519,Epfu
W / R,10,1.3517779129732983,0.18849235912930545,Inf,1,2.1616464706015757,0.030645436602200864,0.9823328890798596,1.721222936866737,Lano
W / R,30,0.520931195226774,0.11285609686927706,Inf,1,-3.010193309688424,0.002610814665617484,0.29973324536299095,0.742129145090557,Lano
W / R,50,0.5911591376285371,0.09120901134438737,Inf,1,-3.407060735402008,6.566651304714014e-4,0.4123894753935379,0.7699287998635364,Lano
W / R,70,1.0184926407398516,0.14772684548635262,Inf,1,0.1263317116540949,0.8994693550749052,0.7289480235866004,1.3080372578931028,Lano
W / R,100,0.964283619943717,0.1391064410974782,Inf,1,-0.2521149821169199,0.8009521898784593,0.6916349953926597,1.2369322444947743,Lano
W / R,10,1.0438063380266849,0.12467357721799781,Inf,1,0.35895435905153916,0.7196292330955127,0.7994461266794092,1.2881665493739605,Laci
W / R,30,0.6815989897692448,0.10744709679613036,Inf,1,-2.431580720463602,0.015033098167038933,0.4710026800488293,0.8921952994896604,Laci
W / R,50,0.3739803376358255,0.06136495490655873,Inf,1,-5.994123691424852,2.045856157003893e-9,0.2537050260189704,0.4942556492526806,Laci
W / R,70,1.0934825432723823,0.1446779694241017,Inf,1,0.6754442819249462,0.4993935396966263,0.809913723201143,1.3770513633436217,Laci
W / R,100,1.1495683042252005,0.13332751753512392,Inf,1,1.2018095537643774,0.2294373230919138,0.8882463698563576,1.4108902385940434,Laci
W / R,10,0.8917613623817672,0.16282798922741604,Inf,1,-0.6273936752497825,0.5304012125945021,0.5726185034960318,1.2109042212675025,Myev
W / R,30,1.1345998127669554,0.3264104845065504,Inf,1,0.4389481103268173,0.6606991353985749,0.49483526313411663,1.7743643623997942,Myev
W / R,50,0.8912310216654409,0.20785168493615636,Inf,1,-0.49374956725670766,0.6214830544181926,0.48384171919057445,1.2986203241403074,Myev
W / R,70,0.9245637041856296,0.16919049555632748,Inf,1,-0.4286092089920659,0.6682076426530207,0.5929503328952277,1.2561770754760315,Myev
W / R,100,0.9601521452296341,0.17490820802493492,Inf,1,-0.22322090407714348,0.8233635832671589,0.6173320575007617,1.3029722329585065,Myev
W / R,10,0.7905130830120195,0.09050177701735426,Inf,1,-2.053311494407084,0.0400423767866576,0.6131296000580051,0.9678965659660339,Mylu
W / R,30,0.2869760232234584,0.05600654605644125,Inf,1,-6.396545414432516,1.58931578239766e-10,0.17720319295283354,0.39674885349408323,Mylu
W / R,50,0.565394806701747,0.08363627299926349,Inf,1,-3.8548544210234383,1.1579851501409134e-4,0.4014677116231906,0.7293219017803034,Mylu
W / R,70,1.057057370626809,0.13290267473103312,Inf,1,0.4413382786090502,0.6589681181960535,0.796568128153984,1.3175466130996338,Mylu
W / R,100,1.3685188713445569,0.18233416965596644,Inf,1,2.3547100987827307,0.01853716123687779,1.0111438988188626,1.7258938438702511,Mylu
W / R,10,1.3804979110918363,0.29314474572519245,Inf,1,1.518477152317356,0.1288941549987043,0.8059342094704591,1.9550616127132134,Myvo
W / R,30,1.2850406339483365,0.413680765166736,Inf,1,0.7790446260024432,0.43595342741012694,0.4742263342215338,2.095854933675139,Myvo
W / R,50,0.3756662866149436,0.11311308215654686,Inf,1,-3.2515921066616413,0.001147605852374158,0.15396464558811176,0.5973679276417755,Myvo
W / R,70,0.986248829979971,0.22058455493875517,Inf,1,-0.061909077459993106,0.9506352385989538,0.5539031023000108,1.4185945576599313,Myvo
W / R,100,1.314342119571715,0.271926040388493,Inf,1,1.3211583089703411,0.1864485842252042,0.7813670804102688,1.8473171587331614,Myvo
