color,response,SE,df,lower_CL,upper_CL,species
R,2.4359472950586585,0.48849410548740563,Inf,1.6442645429193923,3.608810546852796,Epfu
W,2.0303779438417004,0.4886892166234905,Inf,1.2667829661202634,3.2542548369311466,Epfu
R,4.63408601040829,1.2431622602246564,Inf,2.739155322702771,7.839918011904605,Lano
W,3.875026268010072,1.0489086240762084,Inf,2.279647983138015,6.586906701752371,Lano
R,7.1837989843148735,1.168981758889123,Inf,5.222069279237343,9.882474760001717,Laci
W,5.770627298938915,0.9474923670822286,Inf,4.182753935551596,7.961295341861322,Laci
R,1.7821799944497136,0.18962979596646984,Inf,1.4467081517958909,2.195443171225658,Myev
W,1.7046031020244916,0.20903999992445063,Inf,1.3404115807279533,2.1677459201400677,Myev
R,39.57382513377677,10.672288621187597,Inf,23.326822229841643,67.13677586633594,Mylu
W,28.255252864668893,7.65053547649919,Inf,16.619714313335795,48.036885556195735,Mylu
R,2.2596282543139092,0.5128562393322078,Inf,1.448252031983133,3.525574095485329,Myvo
W,2.1944563620855324,0.506257073021325,Inf,1.396227888367716,3.449034906993209,Myvo
