color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,0,2.7985843898590783,0.6436748486268975,Inf,1.7830434193212015,4.392531613248405,Epfu
W,0,2.3326383254169407,0.6239452476484677,Inf,1.3809054699531416,3.940314290585428,Epfu
R,0.17826120512820515,2.7588370210980457,0.6212387949899082,Inf,1.7743990089731878,4.289442042342883,Epfu
W,0.17826120512820515,2.2995086345480753,0.6051627410896017,Inf,1.372852707271033,3.8516440491800186,Epfu
R,0.3565224102564103,2.7196541710733957,0.6002792506990737,Inf,1.764563779413528,4.191698195627269,Epfu
W,0.3565224102564103,2.266849473724569,0.587515941659548,Inf,1.3639880295275504,3.7673399071583007,Epfu
R,0.5347836153846155,2.6810278221121706,0.5808040739745352,Inf,1.753482346144813,4.099220159668438,Epfu
W,0.5347836153846155,2.2346541601637657,0.57099968654741,Inf,1.354287831026025,3.687310113208322,Epfu
R,0.7130448205128206,2.6429500704137676,0.5628184565249919,Inf,1.7411046241349932,4.011927243126176,Epfu
W,0.7130448205128206,2.2029161059963585,0.5556069696225805,Inf,1.3437322693131677,3.6114629981600643,Epfu
R,0.8913060256410257,2.6054131244326517,0.5463239427857167,Inf,1.727387699189216,3.929735954558481,Epfu
W,0.8913060256410257,2.171628816918374,0.5413285473896317,Inf,1.3323060122631452,3.539706099846707,Epfu
R,1.069567230769231,2.5684093032840343,0.5313174100628937,Inf,1.7122977808637148,3.8525579037242386,Epfu
W,1.069567230769231,2.140785890862289,0.528152554359591,Inf,1.3199989703947517,3.471945307006177,Epfu
R,1.247828435897436,2.531931035172191,0.5177900613206161,Inf,1.695812137677559,3.780297725458931,Epfu
W,1.247828435897436,2.110381016687026,0.5160641453184003,Inf,1.3068069810134313,3.4080840554885206,Epfu
R,1.4260896410256412,2.4959708558411116,0.5057264937920402,Inf,1.6779208930392542,3.712851147543621,Epfu
W,1.4260896410256412,2.080407972886561,0.5050451835326032,Inf,1.2927324076859585,3.3480226131233417,Epfu
R,1.6043508461538463,2.460521407047144,0.49510391340039667,Inf,1.6586285468970288,3.650103337400905,Epfu
W,1.6043508461538463,2.0508606263168625,0.4950739941934998,Inf,1.2777846179621226,3.2916574901995523,Epfu
R,1.7826120512820514,2.425575435053338,0.48589156477253487,Inf,1.6379550882485636,3.5919276623299994,Epfu
W,1.7826120512820514,2.0217329309409147,0.4861252010652399,Inf,1.2619803047370404,3.238881010034968,Epfu
R,1.9608732564102567,2.3911257891451716,0.4780504378071382,Inf,1.6159365804525256,3.538184981191527,Epfu
W,1.9608732564102567,1.9930189265915659,0.478169661232579,Inf,1.2453436224698433,3.189581068295377,Epfu
R,2.139134461538462,2.357165420167356,0.47153329408974504,Inf,1.5926251352438188,3.4887235514979684,Epfu
W,2.139134461538462,1.9647127377519502,0.47117450812481354,Inf,1.2279061184819466,3.143641100719474,Epfu
R,2.317395666666667,2.323687379081426,0.46628503145197375,Inf,1.5680882395300866,3.443379587694883,Epfu
W,2.317395666666667,1.936808572353223,0.4651033069550161,Inf,1.2097064511158313,3.1009402673523017,Epfu
R,2.495656871794872,2.290684815543808,0.4622433758664714,Inf,1.542407455220139,3.4019784502494272,Epfu
W,2.495656871794872,1.909300720589378,0.4599163199136815,Inf,1.19078989957396,3.0613538483550933,Epfu
R,2.6739180769230773,2.2581509765040995,0.45933986097232027,Inf,1.5156765681342945,3.3643363893678706,Epfu
W,2.6739180769230773,1.882183553748898,0.4555708716006481,Inf,1.1712076834130316,3.024753833307557,Epfu
R,2.8521792820512823,2.226079204823234,0.457501031298167,Inf,1.487999308825512,3.3302627203891615,Epfu
W,2.8521792820512823,1.8554515230629929,0.4520217990169471,Inf,1.151016121497577,2.9910096740934544,Epfu
R,3.0304404871794874,2.1944629379112928,0.4566497892401402,Inf,1.4594867990213423,3.29956227702464,Epfu
W,3.0304404871794874,1.8290991585702006,0.4492219656329953,Inf,1.130275669437452,2.959989162243359,Epfu
R,3.2087016923076925,2.1632957063846527,0.4567067999046049,Inf,1.4302548888063475,3.272037977208349,Epfu
W,3.2087016923076925,1.8031210679971146,0.44712281607098975,Inf,1.1090498802400108,2.9315593859055733,Epfu
R,3.3869628974358976,2.1325711327422052,0.4575918719035366,Inf,1.400421541880279,3.247493344110645,Epfu
W,3.3869628974358976,1.777511935655003,0.44567494699380156,Inf,1.0874043347026219,2.905587719824617,Epfu
R,3.5652241025641027,2.102282930060382,0.4592252442376834,Inf,1.3701044028558311,3.2257348482430324,Epfu
W,3.5652241025641027,1.7522665213521045,0.44482867080897265,Inf,1.0654055860938803,2.881942803687203,Epfu
R,3.7434853076923083,2.072424900706712,0.461528726608552,Inf,1.3394186472525,3.206573969893048,Epfu
W,3.7434853076923083,1.7273796593213686,0.44453455146519916,Inf,1.0431201585214158,2.860495469349083,Epfu
R,3.9217465128205133,2.042990935071649,0.46442665968757607,Inf,1.308475177760058,3.18982891821453,Epfu
W,3.9217465128205133,1.702846257163426,0.4447438954701987,Inf,1.020613630968854,2.841119584874502,Epfu
R,4.100007717948718,2.013975010318411,0.46784668026782733,Inf,1.2773791948525464,3.1753259787946178,Epfu
W,4.100007717948718,1.6786612948045716,0.44540918575692806,Inf,0.9979498303393927,2.823692791967929,Epfu
R,4.278268923076924,1.9853711891505728,0.4717202918690734,Inf,1.2462291397189267,3.1629004916368477,Epfu
W,4.278268923076924,1.6548198234695477,0.4464844506551934,Inf,0.9751901479606123,2.80809712226337,Epfu
R,4.456530128205129,1.957173618597172,0.4759832532247473,Inf,1.2151159847293025,3.1523974842501103,Epfu
W,4.456530128205129,1.6313169646689158,0.4479255645607477,Inf,0.9523929857060991,2.7942194862382452,Epfu
