contrast,intensity,ratio,SE,df,null,z.ratio,p.value,lower_CL,upper_CL,species
W / R,10,0.8461005984380092,0.2664784239748594,Inf,1,-0.530616343853582,0.5956846675674259,0.3238028874472848,1.3683983094287338,Geometridae
W / R,30,0.5704321183806508,0.18654059246337493,Inf,1,-1.7166151286496234,0.08604951642412006,0.2048125571524359,0.9360516796088656,Geometridae
W / R,50,0.866225608892542,0.3305463553803361,Inf,1,-0.3763422555291725,0.7066624690327068,0.21835475234708324,1.5140964654380007,Geometridae
W / R,70,1.071445133701118,0.25531581044407553,Inf,1,0.28959678872497,0.7721247240048976,0.5710261452307299,1.571864122171506,Geometridae
W / R,100,2.873934309885024,0.8341963543672105,Inf,1,3.6369860706165067,2.7584684220561027e-4,1.2389094553252915,4.508959164444756,Geometridae
W / R,10,0.8865507044096279,0.5462908500664414,Inf,1,-0.19541923454779522,0.8450647598932786,-0.18417936172059712,1.957280770539853,Lasiocampidae
W / R,30,0.8209038179661078,0.262446619153724,Inf,1,-0.6172867378317568,0.5370456128585162,0.30650844442480873,1.3352991915074068,Lasiocampidae
W / R,50,1.0994115616684477,0.3932756626274935,Inf,1,0.2649460483079699,0.7910510240668147,0.32859126291856033,1.870231860418335,Lasiocampidae
W / R,70,1.2693874804170258,0.3239925279779305,Inf,1,0.9345668898743678,0.3500115490713714,0.634362125580282,1.9044128352537695,Lasiocampidae
W / R,100,1.6314322293844707,0.9030691223656793,Inf,1,0.8842269339738756,0.37657372160468594,-0.1385832504522606,3.401447709221202,Lasiocampidae
W / R,10,0.9277808467047934,0.2685667824687525,Inf,1,-0.2589531055742779,0.795671422900637,0.40138995306603853,1.4541717403435483,Noctuidae
W / R,30,0.8440591083484476,0.23687790168261666,Inf,1,-0.6040903922559953,0.5457835468528038,0.3797784210505189,1.3083397956463763,Noctuidae
W / R,50,1.0664531729545086,0.27645850465703203,Inf,1,0.24818856046683696,0.8039885169364521,0.5245945038267258,1.6083118420822915,Noctuidae
W / R,70,1.201660151533964,0.24337006947047785,Inf,1,0.9070542216891665,0.3643781246702412,0.7246548153718274,1.6786654876961005,Noctuidae
W / R,100,2.569191146515653,0.5555909045401533,Inf,1,4.363401079138281,1.2805585819539476e-5,1.4802329736169526,3.6581493194143535,Noctuidae
W / R,10,0.6178046143397445,NA,Inf,1,NA,NA,NA,NA,Sphingidae
W / R,30,0.8316983962631547,NA,Inf,1,NA,NA,NA,NA,Sphingidae
W / R,50,3.2082088274738636,NA,Inf,1,NA,NA,NA,NA,Sphingidae
W / R,70,1.039416989619317,NA,Inf,1,NA,NA,NA,NA,Sphingidae
W / R,100,0.24171978752766204,NA,Inf,1,NA,NA,NA,NA,Sphingidae
W / R,10,1.1373136050145318,0.40429886250133873,Inf,1,0.3619525350672273,0.7173875004110151,0.34488783451190796,1.9297393755171557,Erebidae
W / R,30,1.1831099984615574,0.3595541437890249,Inf,1,0.5532849049251233,0.5800683357947884,0.47838387663506865,1.8878361202880463,Erebidae
W / R,50,1.0677691545440484,0.46015350382829434,Inf,1,0.15215639782224763,0.8790635829602603,0.16586828704059153,1.9696700220475054,Erebidae
W / R,70,1.3259947986061702,0.33553062447433896,Inf,1,1.115089360382613,0.2648121303859976,0.6683547746364659,1.9836348225758744,Erebidae
W / R,100,2.5811916485724073,0.7814704185244852,Inf,1,3.132067378165175,0.0017358003484803902,1.0495096282644165,4.112873668880399,Erebidae
W / R,10,1.1839907206636848,NA,Inf,1,NA,NA,NA,NA,Notodontidae
W / R,30,0.6467451730562429,NA,Inf,1,NA,NA,NA,NA,Notodontidae
W / R,50,1.1070736055814996,NA,Inf,1,NA,NA,NA,NA,Notodontidae
W / R,70,0.7878654698067858,NA,Inf,1,NA,NA,NA,NA,Notodontidae
W / R,100,0.8264626258764108,NA,Inf,1,NA,NA,NA,NA,Notodontidae
