color,response,SE,df,lower_CL,upper_CL,species
R,4.57240758365783,0.6755007072649444,Inf,3.4228936637343033,6.107963952430426,Geometridae
W,4.809342309800405,0.7431430419408322,Inf,3.5526908153778423,6.510494342124831,Geometridae
R,7.873210463808173,1.6666699764590895,Inf,5.199505975857447,11.921794742662296,Lasiocampidae
W,8.709951597573781,1.4394596824039114,Inf,6.300006347717195,12.041774665761581,Lasiocampidae
R,40.27903856560364,4.539430555278363,Inf,32.29602279530032,50.235317148880505,Noctuidae
W,48.67956870566859,5.92518714075092,Inf,38.34776373818604,61.79500910532109,Noctuidae
R,4.717294975633777,NA,Inf,NA,NA,Sphingidae
W,3.9548440708290924,NA,Inf,NA,NA,Sphingidae
R,7.816315582899345,1.3056315581987612,Inf,5.634015158707351,10.84391638475685,Erebidae
W,10.748578831820598,1.8692977109605065,Inf,7.643945928529254,15.114176367033899,Erebidae
R,1.9756171459787897,NA,Inf,NA,NA,Notodontidae
W,1.7542417471270553,NA,Inf,NA,NA,Notodontidae
