color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,0,4.026435985032947,0.65485442801819,Inf,2.927402654472208,5.538078855261266,Geometridae
W,0,4.235079350697476,0.7376000088966052,Inf,3.0103192441808067,5.95813787570063,Geometridae
R,0.17826120512820515,4.067460956921371,0.6523186364624847,Inf,2.970380137322761,5.569737835303206,Geometridae
W,0.17826120512820515,4.278230169921587,0.7342625469866092,Inf,3.0561483666733698,5.98899372374073,Geometridae
R,0.3565224102564103,4.1089039283321265,0.6503456227566918,Inf,3.013007610487803,5.6034015425303965,Geometridae
W,0.3565224102564103,4.321820648723599,0.7314182767573991,Inf,3.1017779238752947,6.021750808129296,Geometridae
R,0.5347836153846155,4.150769158222446,0.6489818202894698,Inf,3.0552120719926554,5.639177968295255,Geometridae
W,0.5347836153846155,4.365855266752984,0.7291117448729107,Inf,3.147139279828186,6.05651371466323,Geometridae
R,0.7130448205128206,4.19306094894367,0.6482742153449564,Inf,3.0969196456088666,5.677176721871243,Geometridae
W,0.7130448205128206,4.410338549301933,0.7273886494399885,Inf,3.1921617981708055,6.093389793275727,Geometridae
R,0.8913060256410257,4.235783646683382,0.6482699573784818,Inf,3.1380563291697374,5.717508297965258,Geometridae
W,0.8913060256410257,4.455275067770402,0.7262955662147342,Inf,3.2367733654826587,6.13248865094287,Geometridae
R,1.069567230769231,4.278941641912061,0.6490159311560244,Inf,3.1785488170022003,5.76028327045084,Geometridae
W,1.069567230769231,4.500669440135912,0.7258796323954351,Inf,3.2809009967779623,6.173921562785928,Geometridae
R,1.247828435897436,4.322539369834267,0.6505583000793077,Inf,3.2183253784648147,5.805611430339561,Geometridae
W,1.247828435897436,4.5465263314281135,0.7261881913330215,Inf,3.3244715167812466,6.217800807745451,Geometridae
R,1.4260896410256412,4.36658131084444,0.6529420326870218,Inf,3.257316769387788,5.853600891202114,Geometridae
W,1.4260896410256412,4.592850454208199,0.72726840368037,Inf,3.3674123063619383,6.264238939457386,Geometridae
R,1.6043508461538463,4.4110719909873275,0.6562104266002063,Inf,3.2954571487747413,5.904357189686799,Geometridae
W,1.6043508461538463,4.639646569053196,0.7291668327576513,Inf,3.4096520991206885,6.313348007346113,Geometridae
R,1.7826120512820514,4.456015982423115,0.6604046457994425,Inf,3.3326849699678602,5.957982411941482,Geometridae
W,1.7826120512820514,4.686919485045196,0.731929014065983,Inf,3.4511218089286673,6.365238747141067,Geometridae
R,1.9608732564102567,4.501417903897295,0.6655632878442235,Inf,3.3689438140638956,6.014574378159342,Geometridae
W,1.9608732564102567,4.734674060265572,0.7355990207443154,Inf,3.49175536559556,6.420019763649214,Geometridae
R,2.139134461538462,4.547282421215313,0.6717219972987607,Inf,3.404183134033787,6.074225916803622,Geometridae
W,2.139134461538462,4.782915202294224,0.7402190381367137,Inf,3.5314905331681863,6.477796731289644,Geometridae
R,2.317395666666667,4.593614247722063,0.6789131401427133,Inf,3.4383588808820376,6.137024257183429,Geometridae
W,2.317395666666667,4.83164786871391,0.7458289613388872,Inf,3.570269683990822,6.538671639267596,Geometridae
R,2.495656871794872,4.640418144786261,0.6871655513725494,Inf,3.471433988181009,6.203050564053748,Geometridae
W,2.495656871794872,4.880877067619734,0.7524660294879939,Inf,3.608040501855305,6.602742108068386,Geometridae
R,2.6739180769230773,4.6876989222897505,0.6965043645191428,Inf,3.503378698080294,6.272379631147957,Geometridae
W,2.6739180769230773,4.930607858133795,0.7601645095810539,Inf,3.64475658946564,6.670100802055197,Geometridae
