site,dist_km,obs_rich,n_ind,cov,std_rich,lower,upper
GRTE01,0.5107492471334706,63,225,0.933,85.14392961289666,61.0272599225474,109.26059930324591
GRTE02,0.9798802527942577,50,218,0.933,52.21024845131365,42.37061340943512,62.04988349319218
GRTE03,1.5963376303982673,37,424,0.933,25.53041063279008,20.530003992773043,30.530817272807116
GRTE05,0.48959439340403343,75,369,0.933,79.90531229357693,66.25454121992809,93.55608336722577
GRTE06,0.7717365917502602,63,363,0.933,64.25639557071618,29.294292215981564,99.2184989254508
GRTE08,1.5618331543423578,65,351,0.933,72.50573975214525,51.72885341535196,93.28262608893853
GRTE09,1.9235036274358979,63,458,0.933,54.95283245100372,39.05337679842398,70.85228810358346
GRTE10,2.0985605195902255,76,562,0.933,67.07780616370455,55.67575553505893,78.47985679235016
GRTE11,2.020329603752727,67,462,0.933,59.23624810518954,49.0987683810678,69.37372782931128
GRTE13,7.462936550896721,70,755,0.933,49.29003434493091,42.540965419222786,56.03910327063903
GRTE14,7.397228684385626,80,811,0.933,58.432207913403225,50.11613169940225,66.7482841274042
GRTE15,7.19661390855458,69,491,0.933,59.85230530148782,52.53570762237907,67.16890298059657
GRTE16,0.3737223931119712,69,306,0.933,82.94648445090617,63.053459782233176,102.83950911957916
GRTE17,0,58,226,0.933,65.34193174137036,50.595837287650156,80.08802619509056
