color,intensity,response,SE,df,lower,upper,level,rate
R,10,7.524230558725594,0.9045652559631112,Inf,5.944706119047022,9.52343889960631,Species,NA
W,10,5.521344264420714,0.5885853983495325,Inf,4.480280297357021,6.80431590501942,Species,NA
R,30,7.0377477701124915,0.8182685869926409,Inf,5.603582183383357,8.838969797319535,Species,NA
W,30,5.988264836913827,0.7729937929323151,Inf,4.649688332748141,7.712197719674767,Species,NA
R,50,5.013257795533863,0.7648849800569427,Inf,3.717492837461743,6.760673072780249,Species,NA
W,50,3.3930665562704783,0.6719764711281987,Inf,2.3015320160693444,5.002276994149067,Species,NA
R,70,6.3661255961483825,0.6611059209691542,Inf,5.193738640492397,7.803156437246781,Species,NA
W,70,5.716988897257158,0.5951286433505802,Inf,4.661854795614085,7.01093523593034,Species,NA
R,100,4.565123196094502,0.5984032528023532,Inf,3.530821125851863,5.902408831456178,Species,NA
W,100,6.050759010813026,0.6218858269513039,Inf,4.946806638972341,7.401074527251144,Species,NA
R,10,9.527797859619607,0.8560754298713628,Inf,7.989356976719199,11.362482902979512,Genus,NA
W,10,7.690355887398227,0.6357606291185629,Inf,6.5399996857656095,9.043054513223135,Genus,NA
R,30,7.891830011093253,0.7137415043089486,Inf,6.609895295935112,9.422385398796417,Genus,NA
W,30,6.8524921315588045,0.6818898746412249,Inf,5.638267556204832,8.32820506387644,Genus,NA
R,50,5.96251253604416,0.7090295954780448,Inf,4.722903177337283,7.527479265947457,Genus,NA
W,50,4.467739448057568,0.6848604758170086,Inf,3.308316269131067,6.033490800736666,Genus,NA
R,70,8.185458945360752,0.6616810187890195,Inf,6.98610607729386,9.59071296726433,Genus,NA
W,70,7.320696136136345,0.5809644248138675,Inf,6.266163554448835,8.552695992046372,Genus,NA
R,100,5.812704234856998,0.6053824153227334,Inf,4.739441381431812,7.129011164542997,Genus,NA
W,100,7.525378763141754,0.5894214916363761,Inf,6.454437985350919,8.774013424139506,Genus,NA
R,10,NA,0.6266827960596565,Inf,3.666165018063188,6.150202827910091,Subfamily,4.748437475810045
W,10,NA,0.48025618906237755,Inf,3.392105030399455,5.29020472641408,Subfamily,4.236145661366258
R,30,NA,0.576140244174701,Inf,3.4745984018492218,5.757097074314557,Subfamily,4.47253846195918
W,30,NA,0.544380997031666,Inf,3.081672745285255,5.2407653346903516,Subfamily,4.018746532981524
R,50,NA,0.6602291844768124,Inf,3.065199388170036,5.694827002026684,Subfamily,4.178011517737403
W,50,NA,0.6676244338667586,Inf,2.2684438858528213,4.952468770892754,Subfamily,3.35177527635859
R,70,NA,0.470909214598148,Inf,3.289427243647767,5.150864376480529,Subfamily,4.116235368431915
W,70,NA,0.46156492784132924,Inf,3.3414622257453277,5.165096461222788,Subfamily,4.1543922199892025
R,100,NA,0.45282790670237477,Inf,2.4861086235997303,4.283127233662366,Subfamily,3.2631762979622883
W,100,NA,0.48017803966388134,Inf,3.6929795261019076,5.588734699123222,Subfamily,4.543025734098077
