model,term,estimate,std_error,z,p,odds_ratio,mcfadden_r2,auc,aic
A: EFA factors,(Intercept),-0.0899,0.1869,-0.4812,0.6304,0.914,0.2358,0.8161,181.5824
A: EFA factors,F1,-1.1722,0.2813,-4.1665,0,0.3097,0.2358,0.8161,181.5824
A: EFA factors,F2,-0.2999,0.2957,-1.0143,0.3104,0.7409,0.2358,0.8161,181.5824
A: EFA factors,F3,0.2965,0.24,1.2357,0.2166,1.3452,0.2358,0.8161,181.5824
B: PCA components,(Intercept),2.6361,0.7448,3.5395,4e-4,13.9588,0.2149,0.8005,184.3292
B: PCA components,PC1_score,-1.0181,0.176,-5.7855,0,0.3613,0.2149,0.8005,184.3292
B: PCA components,PC2_score,0.3459,0.2662,1.2995,0.1938,1.4133,0.2149,0.8005,184.3292
C: PCA + sky,(Intercept),2.8046,0.8385,3.3447,8e-4,16.5202,0.2305,0.8102,175.2314
C: PCA + sky,PC1_score,-0.9105,0.1929,-4.7196,0,0.4023,0.2305,0.8102,175.2314
C: PCA + sky,PC2_score,0.4261,0.2789,1.5279,0.1265,1.5313,0.2305,0.8102,175.2314
C: PCA + sky,Acceptable_Sky_Conditions,-0.1364,0.1223,-1.1153,0.2647,0.8725,0.2305,0.8102,175.2314
