row_id,PC1_score,PC2_score,PC3_score,StreetlightCondition,Acceptable_Sky_Conditions
1,4.6,1,4.5,1,3
2,5,1,5,1,5
3,3.8,1,4.5,1,5
4,2.8,3,2,1,6
5,4.4,1,3.5,1,7
6,3.2,1.75,4,1,4
7,3,1,4,1,6
8,4.8,1.5,1,1,6
9,1.6,1.25,2.5,1,4
10,4.8,3.5,2,1,5
11,4.2,1,3,1,6
12,2.6,1.75,4,1,6
13,3.6,1.5,5,1,2
14,1,1.25,2.5,1,4
15,2.8,1.75,2,1,6
16,4.4,1,3,1,6
17,4.6,1,5,1,7
18,3,1.5,4,1,4
19,4.6,1.25,1.5,1,6
20,4.4,1.25,5,1,6
21,3.2,1,2.5,1,6
22,1.4,1,2.5,1,5
23,3.6,2,3,1,6
24,3.8,1,3.5,1,7
25,2.6,1,2,1,3
26,5,1,3,1,6
27,4.8,1,4.5,1,7
28,4.4,1,5,1,7
29,5,1,3,1,6
30,3.6,1,4,1,7
31,5,1,3,1,6
32,5,1,5,1,7
33,5,1.25,4.5,1,7
34,2,1.5,3,1,2
35,3.6,1.5,4,1,NA
36,1.2,2.75,2,1,3
37,3.4,1.25,3.5,1,6
38,4.8,1.75,4,1,7
39,5,1,5,1,6
40,2.6,2.25,4,1,2
41,5,2,4,1,7
42,5,1,3,1,3
43,3.4,3.25,2.5,1,6
44,5,1.5,4.5,1,3
45,4.4,2.5,3,1,5
46,2.6,1.5,5,1,2
47,3.4,1,5,1,6
48,5,1,5,1,7
49,4.4,2,4,1,7
50,4.6,1,3,1,7
51,3.2,1,3,1,6
52,2.2,1,4.5,1,6
53,3.4,2,5,1,6
54,3.2,2,3,1,3
55,5,3,4,1,4
56,4.2,1,5,1,5
57,4,2,4,1,4
58,4.8,2.25,2,1,6
59,4.4,1,3.5,1,7
60,3.2,1.75,3,1,4
61,5,1,5,1,7
62,3.4,1,3.5,1,7
63,3.8,1,4.5,1,6
64,3.6,2.25,1.5,1,4
65,4.8,1.5,2,1,6
66,3.2,1,4.5,1,6
67,4.4,1.5,2.5,1,7
68,5,1,2,1,7
69,4.6,1,5,1,4
70,3.8,1.5,4.5,1,6
71,2.4,1.5,3,1,6
72,4,2.25,2.5,1,6
73,2.6,1,3.5,1,6
74,4.8,2,4,1,6
75,4.2,2,1.5,1,7
76,3.8,2,2,1,6
77,4.8,3,2,1,7
78,3.6,3,3.5,1,4
79,2.2,1.25,3,1,3
80,4,1.25,3,1,7
81,3.8,1,4,1,2
82,3.4,1,2.5,1,3
83,5,1,4,1,7
84,3,3,3,1,NA
85,3,1,2.5,1,NA
86,4,2.25,4,2,6
87,3.6,1,3.5,2,7
88,1.6,1.75,3,2,6
89,3.4,2.25,3,2,5
90,5,1,3,2,7
91,1.8,1.75,5,2,2
92,1.6,3,3.5,2,2
93,5,2,1,2,3
94,3,1,5,2,6
95,2.2,4.5,1,2,1
96,2.8,1.5,4.5,2,5
97,1.4,2.25,1.5,2,1
98,3.6,2.5,3.5,2,6
99,3.4,1,3,2,5
100,4.4,1,4,2,6
101,4.2,1.5,1.5,2,3
102,2.6,1.25,3.5,2,6
103,2,2,3,2,2
104,2.6,3,3.5,2,5
105,1.6,1,3,2,4
106,4.6,1,3.5,2,4
107,1,2,3,2,6
108,2.4,1.25,3.5,2,6
109,1,1.5,1.5,2,6
110,1.4,1,2.5,2,3
111,2,2,3,2,3
112,2.4,1.5,3,2,4
113,1.8,2,4.5,2,1
114,3.6,2.75,2,2,5
115,4.4,2.25,3.5,2,7
116,2.2,2.25,3,2,6
117,1.4,1.75,3.5,2,3
118,1.6,2.5,3.5,2,4
119,1.4,2,1.5,2,6
120,2,1,4,2,6
121,1.6,1.75,3.5,2,2
122,4.2,1,2.5,2,5
123,3.8,1.25,3.5,2,7
124,3.4,1.25,4,2,2
125,3.4,1.25,2.5,2,3
126,1,1.25,1.5,2,2
127,4.6,1,5,2,7
128,2.6,2,4,2,6
129,2,1,4.5,2,3
130,2.8,2.5,2.5,2,5
131,3.2,1.25,3,2,4
132,3.8,2.25,2.5,2,6
133,2.6,1.75,4,2,4
134,1.6,1.25,2,2,5
135,3,4.75,2,2,7
136,1.6,1.5,1.5,2,3
137,2,2,2.5,2,3
138,3.4,1,4.5,2,6
139,1.4,1,2.5,2,1
140,3.2,1.5,4,2,2
141,3.6,2.25,4.5,2,4
142,2.4,2,4.5,2,NA
143,2.4,2.25,3,2,3
144,1.6,1,2.5,2,2
145,2.8,1.25,3.5,2,5
146,2,1.5,2.5,2,1
147,5,2.75,3.5,2,6
148,2.4,2.5,2,2,2
149,2.2,1.75,3,2,4
150,2,1,3,2,7
151,2.2,2.75,2,2,2
152,3.4,1,3.5,2,NA
153,1.8,2.5,5,2,2
154,2.2,1,4,2,5
155,3,1.5,4,2,6
156,1.8,1.75,3,2,3
157,1,1.75,2,2,3
158,1,1.25,1,2,2
159,3,1.5,5,2,1
160,1.2,2,3,2,3
161,2,1.5,3.5,2,6
162,3,1,4,2,NA
163,1.6,1.25,1.5,2,3
164,2.8,1,5,2,NA
165,5,1.75,4.5,NA,5
166,2.2,3,1,NA,2
