contrast,intensity,ratio,SE,df,null,z.ratio,p.value,lower_CL,upper_CL,species
W / R,10,1.325666650297874,0.37407606426561923,Inf,1,0.9990640036421549,0.3177636872845273,0.5924775643372603,2.058855736258488,Epfu
W / R,30,0.38382813315879255,0.16981785174736366,Inf,1,-2.1643108518150846,0.030440500443314287,0.05098514373395979,0.7166711225836253,Epfu
W / R,50,0.8676038740833925,0.23288622601972453,Inf,1,-0.5290872476837759,0.5967449273295446,0.4111468710847324,1.3240608770820526,Epfu
W / R,70,0.8059331700067056,0.17797463391024768,Inf,1,-0.977013793899446,0.328562323465643,0.4571028875426202,1.154763452470791,Epfu
W / R,100,0.8504105437217963,0.26009257151694465,Inf,1,-0.5298004765956149,0.5962502747513663,0.3406291035485848,1.3601919838950076,Epfu
W / R,10,1.3529052938395107,0.18967445361252147,Inf,1,2.1559124164577783,0.03109050474840503,0.9811433647589687,1.7246672229200528,Lano
W / R,30,0.5128874517190313,0.11182857005923,Inf,1,-3.062315485523444,0.0021963183525502837,0.2937034544029405,0.7320714490351221,Lano
W / R,50,0.5944981140637189,0.0926521369178123,Inf,1,-3.3367978665250013,8.474956037193509e-4,0.4128999257048068,0.776096302422631,Lano
W / R,70,1.0295882520661785,0.14938108307181486,Inf,1,0.2009741079127146,0.8407188198836235,0.7368013292454214,1.3223751748869357,Lano
W / R,100,0.9722903624386386,0.14148980204916747,Inf,1,-0.19310317193343754,0.8468781685675483,0.6949703504222704,1.249610374455007,Lano
W / R,10,1.0443317900911784,0.12493987267322426,Inf,1,0.3625762980826513,0.7169214185002877,0.7994496396516588,1.289213940530698,Laci
W / R,30,0.6696238596527232,0.10505978233538603,Inf,1,-2.5561195980405653,0.010584673194811997,0.4637066862753666,0.8755410330300798,Laci
W / R,50,0.37475153390680327,0.061394362583974356,Inf,1,-5.991032976763304,2.085123498989636e-9,0.25441858324221356,0.495084484571393,Laci
W / R,70,1.0931055246843715,0.14484258202387537,Inf,1,0.6718415191037816,0.5016845936989269,0.8092140639175758,1.3769969854511672,Laci
W / R,100,1.1450546449867576,0.13232692272070096,Inf,1,1.1720997636646058,0.2411570048084772,0.8856938764541837,1.4044154135193314,Laci
W / R,10,0.8885717007080768,0.16214706987651778,Inf,1,-0.6474110446126687,0.5173659497012182,0.5707634437501019,1.2063799576660517,Myev
W / R,30,1.1241698380296827,0.32228767400361935,Inf,1,0.40826345880464054,0.6830802634284276,0.49248599698258877,1.7558536790767767,Myev
W / R,50,0.9013227882766585,0.20939284350517867,Inf,1,-0.4471980621921909,0.6547320604192552,0.4909128150065083,1.3117327615468086,Myev
W / R,70,0.9171670734227607,0.1669864918015537,Inf,1,-0.47490923257113976,0.63485167050113,0.5898735494917154,1.244460597353806,Myev
W / R,100,0.9660161143420448,0.1746177652143917,Inf,1,-0.1912736573416085,0.8483111984489738,0.623765294521837,1.3082669341622526,Myev
W / R,10,0.77071104691418,0.08739051740513122,Inf,1,-2.2968777601474644,0.02162574401812371,0.5994256328001228,0.9419964610282372,Mylu
W / R,30,0.28448048988256835,0.05297003848422448,Inf,1,-6.7513213368421825,1.4650471669341504e-11,0.18065921445348837,0.38830176531164834,Mylu
W / R,50,0.5601797561354636,0.08288137401407249,Inf,1,-3.916715934703133,8.976341446059914e-5,0.39773226306788145,0.7226272492030457,Mylu
W / R,70,1.0504268754781503,0.13283489544930957,Inf,1,0.3890352890094167,0.6972500417514065,0.7900704803975036,1.310783270558797,Mylu
W / R,100,1.4379973653921365,0.1892067699448122,Inf,1,2.760760597460494,0.0057666930873569895,1.0671520963003047,1.8088426344839683,Mylu
W / R,10,1.3614723301268745,0.2933518029644661,Inf,1,1.432086093241623,0.15211918390972978,0.786502796316521,1.936441863937228,Myvo
W / R,30,1.2944022603451362,0.4174595917874228,Inf,1,0.8001234922272352,0.42363925139104885,0.47618146044178744,2.112623060248485,Myvo
W / R,50,0.3829572460943991,0.11483493258318442,Inf,1,-3.2008952542054865,0.0013700132551461655,0.15788077823135763,0.6080337139574405,Myvo
W / R,70,0.9852661663882945,0.21813695008969022,Inf,1,-0.06704390811607021,0.9465467481901286,0.5577177442125016,1.4128145885640873,Myvo
W / R,100,1.381453867382181,0.28712956859395217,Inf,1,1.554692296898716,0.12001937006986757,0.8186799129380348,1.9442278218263271,Myvo
