color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,0,2.8914597781259905,0.6957370340662984,Inf,1.8042753324070178,4.6337382650833625,Epfu
W,0,2.4194308070678687,0.6702226559695355,Inf,1.4057762202952877,4.163995197585218,Epfu
R,0.1913573474588903,2.848730184998825,0.6690872177092931,Inf,1.7977439269260445,4.514137717488884,Epfu
W,0.1913573474588903,2.383676792861126,0.6480006070091411,Inf,1.399100518799405,4.06111996706317,Epfu
R,0.3827146949177806,2.80663204389552,0.6440481046724874,Inf,1.7900169882799657,4.400619369199597,Epfu
W,0.3827146949177806,2.3484511465366813,0.6270455699987728,Inf,1.3915775535105654,3.963288121280823,Epfu
R,0.5740720423766709,2.7651560233053085,0.6206328168874291,Inf,1.7810226443407549,4.2930885003159664,Epfu
W,0.5740720423766709,2.313746059946967,0.6073550483039745,Inf,1.3831729859441912,3.870391400295982,Epfu
R,0.7654293898355612,2.7242929296171967,0.5988532125903235,Inf,1.7706916874776928,4.191453553912812,Epfu
W,0.7654293898355612,2.2795538403321416,0.588925168567562,Inf,1.373855404909173,3.7823235927193894,Epfu
R,0.9567867372944515,2.684033705082106,0.578718829584673,Inf,1.7589595745430633,4.095623932624045,Epfu
W,0.9567867372944515,2.245866908614907,0.5717501939691048,Inf,1.363597241715182,3.69897944708883,Epfu
R,1.1481440847533417,2.6443694258051207,0.5602356928843224,Inf,1.745768694708832,4.005507534489946,Epfu
W,1.1481440847533417,2.21267779772052,0.5558220148078667,Inf,1.3523757327574601,3.6202535419225734,Epfu
R,1.339501432212232,2.605291299767413,0.5434050250768332,Inf,1.7310708324633497,3.9210081005090713,Epfu
W,1.339501432212232,2.179979150921639,0.5411296344246744,Inf,1.3401738953132962,3.5460391484062366,Epfu
R,1.5308587796711224,2.566790664877393,0.5282219185110094,Inf,1.7148297127978436,3.8420224866248383,Epfu
W,1.5308587796711224,2.1477637202076214,0.5276586729149938,Inf,1.3269814737625467,3.4762271282963857,Epfu
R,1.7222161271300127,2.5288589870506644,0.5146740484417279,Inf,1.6970234766408596,3.7684380118568686,Epfu
W,1.7222161271300127,2.1160243646779247,0.5153909145819058,Inf,1.3127958066052625,3.4107049164706442,Epfu
R,1.913573474588903,2.491487858318351,0.5027405218187821,Inf,1.6776469041883229,3.700130064705764,Epfu
W,1.913573474588903,2.084754048959246,0.5043039269559713,Inf,1.2976225609047782,3.349355641305703,Epfu
R,2.1049308220477934,2.454668994963379,0.49239096331533283,Inf,1.656713190027324,3.6369601637173843,Epfu
W,2.1049308220477934,2.053945841646062,0.49437077885020847,Inf,1.2814762813363199,3.292057435519531,Epfu
R,2.2962881695066835,2.4183942356843016,0.48358493484965154,Inf,1.634255083886471,3.5787746581655133,Epfu
W,2.2962881695066835,2.0235929137641966,0.4855598818993052,Inf,1.2643807066954222,3.238682984446316,Epfu
R,2.487645516965574,2.382655539786256,0.4762717654139597,Inf,1.6103252480850658,3.5254042175796796,Epfu
W,2.487645516965574,1.9936885372571154,0.47783497425754645,Inf,1.246368817710673,3.189099347728634,Epfu
R,2.679002864424464,2.3474449853986594,0.47039083540119686,Inf,1.5849957455604,3.476664196044885,Epfu
W,2.679002864424464,1.9642260834945722,0.47115525692132865,Inf,1.2274825956992528,3.143168074723339,Epfu
R,2.8703602118833547,2.312754767719235,0.4658723178387213,Inf,1.558356652951067,3.4323558766081805,Epfu
W,2.8703602118833547,1.935199021803302,0.4654756832478671,Inf,1.2077724905634408,3.100745614963767,Epfu
R,3.0617175593422448,2.2785771972839974,0.46263833451948094,Inf,1.5305138789721064,3.3922685153756906,Epfu
W,3.0617175593422448,1.9066009180194279,0.4607473917485495,Inf,1.187296616757453,3.061684004895237,Epfu
R,3.253074906801135,2.2449046982627983,0.4606044454792672,Inf,1.5015863446717521,3.3561820285359913,Epfu
W,3.253074906801135,1.8784254330622574,0.45691826239218636,Inf,1.1661197147475584,3.0258317932125647,Epfu
R,3.4444322542600254,2.2117298067800597,0.4596813621751421,Inf,1.4717027363698096,3.32387011134167,Epfu
W,3.4444322542600254,1.8506663215291577,0.4539335686445412,Inf,1.1443119308587384,2.993035151763234,Epfu
R,3.6357896017189155,2.179045169260326,0.45977676204090295,Inf,1.4409980664617528,3.2951035537026456,Epfu
W,3.6357896017189155,1.823317430311192,0.4517366921971398,Inf,1.1219474785093513,2.9631391088766548,Epfu
R,3.827146949177806,2.1468435407982636,0.4607970853826787,Inf,1.4096102707739433,3.269653523549243,Epfu
W,3.827146949177806,1.7963726972292189,0.45026986526416346,Inf,1.0991032477881453,2.935988838031877,Epfu
R,4.018504296636697,2.115117783552749,0.4626492122302385,Inf,1.3776770388342587,3.2472946214495955,Epfu
W,4.018504296636697,1.7698261496901402,0.44947490642473337,Inf,1.0758574281795414,2.9114309369292233,Epfu
R,4.209861644095587,2.0838608651646893,0.46524194212252606,Inf,1.345333024316496,3.2278075590771627,Epfu
W,4.209861644095587,1.7436719033630166,0.44929391979615496,Inf,1.052288201890319,2.889314639388599,Epfu
R,4.401218991554477,2.053065857198221,0.4684872286063823,Inf,1.3127075272511226,3.2109813697950367,Epfu
W,4.401218991554477,1.717904160874735,0.44966993307721115,Inf,1.0284725541518074,2.869492913580577,Epfu
R,4.592576339013367,2.0227259336049506,0.47230114783171673,Inf,1.2799226863405149,3.1966151128830953,Epfu
W,4.592576339013367,1.6925172105249644,0.4505474568053878,Inf,1.00448523379272,2.851823413179544,Epfu
R,4.783933686472257,1.992834369210884,0.4766046038017529,Inf,1.2470921751164543,3.184519077539149,Epfu
W,4.783933686472257,1.6675054250200905,0.45187295416808987,Inf,0.9803978839564798,2.8361692614535094,Epfu
R,4.975291033931148,1.9633845382257187,0.4813237899574535,Inf,1.2143203628515373,3.174515525615966,Epfu
W,4.975291033931148,1.6428632602258666,0.4535952171912348,Inf,0.9562783504280269,2.8223996607179287,Epfu
R,5.166648381390038,1.9343699127741663,0.4863904376042699,Inf,1.181701880509953,3.1664390326866543,Epfu
W,5.166648381390038,1.6185852539384962,0.4556656506152297,Inf,0.9321901645657982,2.8103903300539788,Epfu
