v4.4.5,v30.1,Freq
Anpa,Anpa,3
Epfu,Anpa,1
Laci,Anpa,0
Lano,Anpa,1
Myca,Anpa,0
Myci,Anpa,0
Myev,Anpa,0
Mylu,Anpa,1
Myth,Anpa,0
Myvo,Anpa,0
Myyu,Anpa,0
NoID,Anpa,58
Anpa,Coto,3
Epfu,Coto,0
Laci,Coto,0
Lano,Coto,0
Myca,Coto,0
Myci,Coto,0
Myev,Coto,0
Mylu,Coto,13
Myth,Coto,0
Myvo,Coto,0
Myyu,Coto,0
NoID,Coto,69
Anpa,Epfu,3
Epfu,Epfu,1347
Laci,Epfu,8
Lano,Epfu,679
Myca,Epfu,0
Myci,Epfu,0
Myev,Epfu,0
Mylu,Epfu,51
Myth,Epfu,0
Myvo,Epfu,2
Myyu,Epfu,0
NoID,Epfu,2395
Anpa,HiF,0
Epfu,HiF,0
Laci,HiF,0
Lano,HiF,0
Myca,HiF,0
Myci,HiF,0
Myev,HiF,0
Mylu,HiF,13
Myth,HiF,0
Myvo,HiF,0
Myyu,HiF,0
NoID,HiF,85
Anpa,Labo,0
Epfu,Labo,2
Laci,Labo,3
Lano,Labo,8
Myca,Labo,0
Myci,Labo,0
Myev,Labo,0
Mylu,Labo,282
Myth,Labo,0
Myvo,Labo,0
Myyu,Labo,0
NoID,Labo,4723
Anpa,Laci,2
Epfu,Laci,3
Laci,Laci,1104
Lano,Laci,6
Myca,Laci,0
Myci,Laci,0
Myev,Laci,0
Mylu,Laci,10
Myth,Laci,0
Myvo,Laci,0
Myyu,Laci,0
NoID,Laci,506
Anpa,Lano,0
Epfu,Lano,17
Laci,Lano,7
Lano,Lano,1680
Myca,Lano,0
Myci,Lano,0
Myev,Lano,0
Mylu,Lano,33
Myth,Lano,0
Myvo,Lano,1
Myyu,Lano,0
NoID,Lano,455
Anpa,Myca,0
Epfu,Myca,0
Laci,Myca,0
Lano,Myca,0
Myca,Myca,0
Myci,Myca,0
Myev,Myca,0
Mylu,Myca,0
Myth,Myca,0
Myvo,Myca,0
Myyu,Myca,0
NoID,Myca,84
Anpa,Myci,0
Epfu,Myci,0
Laci,Myci,1
Lano,Myci,0
Myca,Myci,0
Myci,Myci,2
Myev,Myci,0
Mylu,Myci,0
Myth,Myci,0
Myvo,Myci,0
Myyu,Myci,0
NoID,Myci,186
Anpa,Myev,0
Epfu,Myev,0
Laci,Myev,0
Lano,Myev,0
Myca,Myev,0
Myci,Myev,0
Myev,Myev,2
Mylu,Myev,0
Myth,Myev,0
Myvo,Myev,0
Myyu,Myev,0
NoID,Myev,3
Anpa,Mylu,1
Epfu,Mylu,5
Laci,Mylu,0
Lano,Mylu,18
Myca,Mylu,1
Myci,Mylu,0
Myev,Mylu,0
Mylu,Mylu,4887
Myth,Mylu,0
Myvo,Mylu,43
Myyu,Mylu,0
NoID,Mylu,21189
Anpa,Myse,0
Epfu,Myse,1
Laci,Myse,0
Lano,Myse,0
Myca,Myse,0
Myci,Myse,0
Myev,Myse,67
Mylu,Myse,0
Myth,Myse,0
Myvo,Myse,6
Myyu,Myse,0
NoID,Myse,394
Anpa,Myth,0
Epfu,Myth,0
Laci,Myth,0
Lano,Myth,0
Myca,Myth,0
Myci,Myth,0
Myev,Myth,1
Mylu,Myth,0
Myth,Myth,2
Myvo,Myth,0
Myyu,Myth,0
NoID,Myth,16
Anpa,Myvo,0
Epfu,Myvo,1
Laci,Myvo,0
Lano,Myvo,1
Myca,Myvo,0
Myci,Myvo,0
Myev,Myvo,0
Mylu,Myvo,7
Myth,Myvo,0
Myvo,Myvo,87
Myyu,Myvo,0
NoID,Myvo,4456
Anpa,Myyu,0
Epfu,Myyu,0
Laci,Myyu,0
Lano,Myyu,0
Myca,Myyu,0
Myci,Myyu,0
Myev,Myyu,0
Mylu,Myyu,0
Myth,Myyu,0
Myvo,Myyu,0
Myyu,Myyu,11
NoID,Myyu,53
Anpa,NoID,7
Epfu,NoID,34
Laci,NoID,53
Lano,NoID,112
Myca,NoID,1
Myci,NoID,0
Myev,NoID,0
Mylu,NoID,134
Myth,NoID,0
Myvo,NoID,19
Myyu,NoID,0
NoID,NoID,24651
