rec_key,site,id_445,id_30
GRTE01_20220630_223619,GRTE01,Epfu,Epfu
GRTE01_20220630_230046,GRTE01,Epfu,Epfu
GRTE01_20220630_230106,GRTE01,Epfu,Epfu
GRTE01_20220630_232527,GRTE01,Epfu,NoID
GRTE01_20220630_233247,GRTE01,Epfu,Epfu
GRTE01_20220701_024736,GRTE01,Laci,Laci
GRTE01_20220701_211510,GRTE01,Laci,NoID
GRTE01_20220701_213941,GRTE01,Epfu,Epfu
GRTE01_20220701_215826,GRTE01,Epfu,Epfu
GRTE01_20220701_223340,GRTE01,Myev,Myse
GRTE01_20220701_223847,GRTE01,Myvo,Mylu
GRTE01_20220701_224152,GRTE01,Epfu,Epfu
GRTE01_20220701_230030,GRTE01,Lano,Lano
GRTE01_20220701_230107,GRTE01,Epfu,Epfu
GRTE01_20220701_230230,GRTE01,Lano,Epfu
GRTE01_20220701_231348,GRTE01,Epfu,Epfu
GRTE01_20220701_232444,GRTE01,Epfu,Epfu
GRTE01_20220702_004057,GRTE01,Mylu,Mylu
GRTE01_20220702_042409,GRTE01,Mylu,Mylu
GRTE01_20220702_213916,GRTE01,Epfu,Epfu
GRTE01_20220702_221551,GRTE01,Lano,Lano
GRTE01_20220702_222717,GRTE01,Lano,NoID
GRTE01_20220702_235559,GRTE01,Myvo,NoID
GRTE01_20220703_001405,GRTE01,Myvo,Myvo
GRTE01_20220703_013952,GRTE01,Laci,Laci
GRTE01_20220703_214024,GRTE01,Laci,NoID
GRTE01_20220703_222934,GRTE01,Laci,Laci
GRTE01_20220703_230351,GRTE01,Lano,Epfu
GRTE01_20220703_230826,GRTE01,Lano,NoID
GRTE01_20220703_231213,GRTE01,Lano,Epfu
GRTE01_20220703_231233,GRTE01,Lano,Lano
GRTE01_20220703_234015,GRTE01,Lano,Lano
GRTE01_20220703_234045,GRTE01,Mylu,Mylu
GRTE01_20220703_235524,GRTE01,Myev,Myse
GRTE01_20220704_001041,GRTE01,Myvo,Myvo
GRTE01_20220704_003322,GRTE01,Lano,Lano
GRTE01_20220704_013826,GRTE01,Myvo,Mylu
GRTE01_20220704_033144,GRTE01,Mylu,Mylu
GRTE01_20220704_035045,GRTE01,Mylu,Mylu
GRTE01_20220704_043658,GRTE01,Mylu,Mylu
GRTE01_20220704_222609,GRTE01,Laci,Laci
GRTE01_20220704_223604,GRTE01,Myvo,Mylu
GRTE01_20220704_224101,GRTE01,Lano,NoID
GRTE01_20220705_000817,GRTE01,Lano,Epfu
GRTE01_20220705_005654,GRTE01,Mylu,Labo
GRTE01_20220705_010417,GRTE01,Laci,Laci
GRTE01_20220705_030428,GRTE01,Laci,Laci
GRTE01_20220705_223220,GRTE01,Lano,Epfu
GRTE01_20220705_223547,GRTE01,Lano,Lano
GRTE01_20220705_234650,GRTE01,Lano,Lano
GRTE01_20220705_234824,GRTE01,Lano,NoID
GRTE01_20220706_000031,GRTE01,Myvo,Myvo
GRTE01_20220706_000148,GRTE01,Laci,Laci
