night,rec_v445,rec_v30,in_both
GRTE01 20220621,1,291,TRUE
GRTE01 20220630,329,1034,TRUE
GRTE01 20220701,685,685,TRUE
GRTE01 20220702,559,559,TRUE
GRTE01 20220703,560,561,TRUE
GRTE01 20220704,603,603,TRUE
GRTE01 20220705,455,455,TRUE
GRTE01 20220706,470,470,TRUE
GRTE01 20220707,439,439,TRUE
GRTE01 20220708,426,426,TRUE
GRTE01 20220709,646,646,TRUE
GRTE01 20220710,763,763,TRUE
GRTE01 20220711,596,596,TRUE
GRTE01 20220712,454,454,TRUE
GRTE01 20220713,427,427,TRUE
GRTE01 20220719,163,164,TRUE
GRTE01 20220720,609,610,TRUE
GRTE01 20220721,680,680,TRUE
GRTE01 20220722,891,891,TRUE
GRTE01 20220723,1157,1157,TRUE
GRTE01 20220724,707,707,TRUE
GRTE01 20220725,1021,1021,TRUE
GRTE01 20220726,884,884,TRUE
GRTE01 20220727,860,860,TRUE
GRTE01 20220728,953,953,TRUE
GRTE01 20220729,700,700,TRUE
GRTE01 20220730,375,375,TRUE
GRTE01 20220731,1028,1028,TRUE
GRTE01 20220801,1091,1091,TRUE
GRTE01 20220802,953,953,TRUE
GRTE01 20220803,362,362,TRUE
GRTE01 20220804,740,740,TRUE
GRTE01 20220805,807,807,TRUE
GRTE01 20220806,497,497,TRUE
GRTE01 20220807,314,314,TRUE
GRTE01 20220808,581,581,TRUE
GRTE01 20220809,714,714,TRUE
GRTE01 20220810,757,757,TRUE
GRTE01 20220811,1056,1056,TRUE
GRTE01 20220812,273,307,TRUE
GRTE01 20220814,146,146,TRUE
GRTE01 20220815,416,416,TRUE
GRTE05 20220621,1,1,TRUE
GRTE05 20220622,2,2,TRUE
GRTE05 20220623,20,20,TRUE
GRTE05 20220624,10,10,TRUE
GRTE05 20220625,2,2,TRUE
GRTE05 20220626,2,2,TRUE
GRTE05 20220627,2,2,TRUE
GRTE05 20220629,49,49,TRUE
GRTE05 20220630,36,36,TRUE
GRTE05 20220701,1,1,TRUE
GRTE05 20220709,5,5,TRUE
GRTE05 20220710,8,8,TRUE
GRTE05 20220716,11,11,TRUE
GRTE05 20220717,29,29,TRUE
GRTE05 20220718,143,143,TRUE
GRTE05 20220719,107,107,TRUE
GRTE05 20220720,10,10,TRUE
GRTE05 20220721,10,10,TRUE
GRTE05 20220722,68,68,TRUE
GRTE05 20220723,100,100,TRUE
GRTE05 20220724,59,59,TRUE
GRTE05 20220725,85,85,TRUE
GRTE05 20220726,41,41,TRUE
GRTE05 20220727,95,95,TRUE
GRTE05 20220728,23,23,TRUE
GRTE05 20220730,93,93,TRUE
GRTE05 20220731,182,182,TRUE
GRTE05 20220801,243,243,TRUE
GRTE05 20220802,337,337,TRUE
GRTE05 20220803,14,14,TRUE
GRTE05 20220804,41,41,TRUE
GRTE05 20220805,18,18,TRUE
GRTE05 20220807,37,37,TRUE
GRTE05 20220808,39,39,TRUE
GRTE05 20220809,73,73,TRUE
GRTE05 20220810,170,170,TRUE
GRTE05 20220811,352,352,TRUE
GRTE05 20220812,40,40,TRUE
GRTE05 20220814,17,17,TRUE
GRTE06 20220621,102,102,TRUE
GRTE06 20220622,72,72,TRUE
GRTE06 20220623,184,184,TRUE
GRTE06 20220624,207,209,TRUE
GRTE06 20220625,104,104,TRUE
GRTE06 20220626,120,120,TRUE
GRTE06 20220627,66,66,TRUE
GRTE06 20220628,129,129,TRUE
GRTE06 20220629,232,232,TRUE
GRTE06 20220630,88,88,TRUE
GRTE06 20220701,155,155,TRUE
GRTE06 20220702,153,153,TRUE
GRTE06 20220703,161,161,TRUE
GRTE06 20220704,97,97,TRUE
GRTE06 20220705,137,137,TRUE
GRTE06 20220706,94,94,TRUE
GRTE06 20220707,116,116,TRUE
GRTE06 20220708,105,105,TRUE
GRTE06 20220709,355,355,TRUE
GRTE06 20220710,677,677,TRUE
GRTE06 20220711,194,194,TRUE
GRTE06 20220712,130,130,TRUE
GRTE06 20220713,67,67,TRUE
GRTE06 20220714,97,97,TRUE
GRTE06 20220715,108,108,TRUE
GRTE06 20220716,96,96,TRUE
GRTE06 20220717,144,144,TRUE
GRTE06 20220718,464,464,TRUE
GRTE06 20220719,617,617,TRUE
GRTE06 20220720,85,85,TRUE
GRTE06 20220721,111,111,TRUE
GRTE06 20220722,252,252,TRUE
GRTE06 20220723,331,331,TRUE
GRTE06 20220724,195,195,TRUE
GRTE06 20220725,572,572,TRUE
GRTE06 20220726,143,143,TRUE
GRTE06 20220727,164,164,TRUE
GRTE06 20220728,185,185,TRUE
GRTE06 20220729,126,126,TRUE
GRTE06 20220730,69,69,TRUE
GRTE06 20220731,163,163,TRUE
GRTE06 20220801,231,231,TRUE
GRTE06 20220802,272,272,TRUE
GRTE06 20220803,85,85,TRUE
GRTE06 20220804,127,127,TRUE
GRTE06 20220805,196,196,TRUE
GRTE06 20220806,81,81,TRUE
GRTE06 20220811,80,81,TRUE
GRTE06 20220812,8,8,TRUE
