a,b,Freq
Anpa,Anpa,8
Epfu,Anpa,2
Euma,Anpa,0
Laci,Anpa,0
Lano,Anpa,0
Myca,Anpa,0
Myci,Anpa,0
Myev,Anpa,0
Mylu,Anpa,0
Myvo,Anpa,0
Myyu,Anpa,0
NoID,Anpa,79
Anpa,Coto,6
Epfu,Coto,0
Euma,Coto,0
Laci,Coto,0
Lano,Coto,0
Myca,Coto,0
Myci,Coto,0
Myev,Coto,0
Mylu,Coto,20
Myvo,Coto,0
Myyu,Coto,0
NoID,Coto,91
Anpa,Epfu,2
Epfu,Epfu,479
Euma,Epfu,0
Laci,Epfu,0
Lano,Epfu,1416
Myca,Epfu,0
Myci,Epfu,0
Myev,Epfu,2
Mylu,Epfu,33
Myvo,Epfu,0
Myyu,Epfu,0
NoID,Epfu,2049
Anpa,Euma,0
Epfu,Euma,0
Euma,Euma,3
Laci,Euma,0
Lano,Euma,0
Myca,Euma,0
Myci,Euma,0
Myev,Euma,0
Mylu,Euma,0
Myvo,Euma,0
Myyu,Euma,0
NoID,Euma,0
Anpa,HiF,1
Epfu,HiF,2
Euma,HiF,0
Laci,HiF,0
Lano,HiF,0
Myca,HiF,0
Myci,HiF,0
Myev,HiF,0
Mylu,HiF,12
Myvo,HiF,0
Myyu,HiF,0
NoID,HiF,180
Anpa,Labo,0
Epfu,Labo,0
Euma,Labo,0
Laci,Labo,0
Lano,Labo,11
Myca,Labo,3
Myci,Labo,1
Myev,Labo,0
Mylu,Labo,412
Myvo,Labo,0
Myyu,Labo,0
NoID,Labo,9635
Anpa,Laci,0
Epfu,Laci,1
Euma,Laci,0
Laci,Laci,3249
Lano,Laci,14
Myca,Laci,0
Myci,Laci,0
Myev,Laci,0
Mylu,Laci,7
Myvo,Laci,0
Myyu,Laci,0
NoID,Laci,1929
Anpa,Lano,0
Epfu,Lano,17
Euma,Lano,0
Laci,Lano,35
Lano,Lano,16745
Myca,Lano,0
Myci,Lano,0
Myev,Lano,4
Mylu,Lano,40
Myvo,Lano,0
Myyu,Lano,0
NoID,Lano,2434
Anpa,Myca,0
Epfu,Myca,0
Euma,Myca,0
Laci,Myca,0
Lano,Myca,0
Myca,Myca,63
Myci,Myca,0
Myev,Myca,0
Mylu,Myca,0
Myvo,Myca,0
Myyu,Myca,2
NoID,Myca,1254
Anpa,Myci,0
Epfu,Myci,0
Euma,Myci,0
Laci,Myci,0
Lano,Myci,0
Myca,Myci,0
Myci,Myci,8
Myev,Myci,0
Mylu,Myci,3
Myvo,Myci,0
Myyu,Myci,0
NoID,Myci,1585
Anpa,Myev,2
Epfu,Myev,0
Euma,Myev,0
Laci,Myev,0
Lano,Myev,0
Myca,Myev,0
Myci,Myev,0
Myev,Myev,5
Mylu,Myev,0
Myvo,Myev,0
Myyu,Myev,0
NoID,Myev,11
Anpa,Mylu,7
Epfu,Mylu,3
Euma,Mylu,0
Laci,Mylu,4
Lano,Mylu,25
Myca,Mylu,0
Myci,Mylu,0
Myev,Mylu,0
Mylu,Mylu,9136
Myvo,Mylu,23
Myyu,Mylu,0
NoID,Mylu,76887
Anpa,Myse,1
Epfu,Myse,12
Euma,Myse,0
Laci,Myse,0
Lano,Myse,2
Myca,Myse,0
Myci,Myse,0
Myev,Myse,1065
Mylu,Myse,3
Myvo,Myse,7
Myyu,Myse,1
NoID,Myse,2004
Anpa,Myth,0
Epfu,Myth,1
Euma,Myth,0
Laci,Myth,0
Lano,Myth,0
Myca,Myth,0
Myci,Myth,0
Myev,Myth,0
Mylu,Myth,0
Myvo,Myth,0
Myyu,Myth,0
NoID,Myth,27
Anpa,Myvo,1
Epfu,Myvo,0
Euma,Myvo,0
Laci,Myvo,3
Lano,Myvo,9
Myca,Myvo,2
Myci,Myvo,0
Myev,Myvo,1
Mylu,Myvo,20
Myvo,Myvo,507
Myyu,Myvo,0
NoID,Myvo,30203
Anpa,Myyu,0
Epfu,Myyu,0
Euma,Myyu,0
Laci,Myyu,0
Lano,Myyu,0
Myca,Myyu,3
Myci,Myyu,0
Myev,Myyu,0
Mylu,Myyu,0
Myvo,Myyu,0
Myyu,Myyu,116
NoID,Myyu,427
Anpa,NoID,6
Epfu,NoID,15
Euma,NoID,66
Laci,NoID,81
Lano,NoID,379
Myca,NoID,11
Myci,NoID,2
Myev,NoID,12
Mylu,NoID,207
Myvo,NoID,25
Myyu,NoID,4
NoID,NoID,87593
