rec_key,site,id_a,id_b
GRTE01_20240628_012017,GRTE01,Lano,Lano
GRTE01_20240628_012231,GRTE01,Epfu,Epfu
GRTE01_20240628_013957,GRTE01,Myev,Myse
GRTE01_20240628_214501,GRTE01,Mylu,Mylu
GRTE01_20240628_220056,GRTE01,Mylu,Mylu
GRTE01_20240628_220344,GRTE01,Myev,Myse
GRTE01_20240628_223808,GRTE01,Mylu,Mylu
GRTE01_20240628_225908,GRTE01,Lano,Lano
GRTE01_20240628_230625,GRTE01,Lano,NoID
GRTE01_20240628_231340,GRTE01,Laci,Laci
GRTE01_20240628_231906,GRTE01,Mylu,Mylu
GRTE01_20240628_232112,GRTE01,Mylu,NoID
GRTE01_20240628_233102,GRTE01,Lano,Lano
GRTE01_20240629_000741,GRTE01,Lano,NoID
GRTE01_20240629_213625,GRTE01,Lano,NoID
GRTE01_20240629_225004,GRTE01,Mylu,Mylu
GRTE01_20240629_225203,GRTE01,Lano,Lano
GRTE01_20240629_230239,GRTE01,Lano,Lano
GRTE01_20240629_230950,GRTE01,Lano,Lano
GRTE01_20240629_232124,GRTE01,Lano,Lano
GRTE01_20240629_232204,GRTE01,Lano,Lano
GRTE01_20240629_232227,GRTE01,Lano,Epfu
GRTE01_20240629_232245,GRTE01,Lano,Lano
GRTE01_20240629_232303,GRTE01,Lano,Lano
GRTE01_20240629_232317,GRTE01,Lano,Lano
GRTE01_20240629_232337,GRTE01,Lano,Lano
GRTE01_20240629_232416,GRTE01,Lano,Lano
GRTE01_20240629_232443,GRTE01,Lano,Lano
GRTE01_20240629_232515,GRTE01,Lano,Lano
GRTE01_20240629_232534,GRTE01,Lano,Lano
GRTE01_20240629_232553,GRTE01,Lano,Lano
GRTE01_20240629_232610,GRTE01,Lano,Lano
GRTE01_20240629_232621,GRTE01,Lano,Lano
GRTE01_20240629_232645,GRTE01,Lano,Lano
GRTE01_20240629_232702,GRTE01,Lano,Lano
GRTE01_20240629_232714,GRTE01,Lano,Lano
GRTE01_20240629_232808,GRTE01,Lano,Lano
GRTE01_20240629_232826,GRTE01,Lano,Lano
GRTE01_20240629_232919,GRTE01,Lano,Lano
GRTE01_20240629_232948,GRTE01,Lano,Lano
GRTE01_20240629_233001,GRTE01,Lano,Lano
GRTE01_20240629_233020,GRTE01,Lano,Lano
GRTE01_20240629_233044,GRTE01,Lano,Epfu
GRTE01_20240629_233411,GRTE01,Lano,Lano
GRTE01_20240629_233541,GRTE01,Mylu,Mylu
GRTE01_20240629_233610,GRTE01,Mylu,Mylu
GRTE01_20240629_235436,GRTE01,Lano,Lano
GRTE01_20240630_004104,GRTE01,Lano,Lano
GRTE01_20240630_004944,GRTE01,Myev,Myse
GRTE01_20240630_011313,GRTE01,Lano,Lano
GRTE01_20240630_011525,GRTE01,Lano,Lano
GRTE01_20240630_012852,GRTE01,Mylu,Mylu
GRTE01_20240630_013238,GRTE01,Lano,Lano
GRTE01_20240630_014501,GRTE01,Lano,Lano
GRTE01_20240630_014828,GRTE01,Lano,Lano
GRTE01_20240630_015357,GRTE01,Lano,Lano
GRTE01_20240630_020328,GRTE01,Lano,Lano
GRTE01_20240630_024209,GRTE01,Lano,Lano
GRTE01_20240630_025922,GRTE01,Lano,Lano
GRTE01_20240630_035623,GRTE01,Lano,Lano
GRTE01_20240630_215025,GRTE01,Lano,Lano
GRTE01_20240630_215827,GRTE01,Lano,Lano
GRTE01_20240630_215948,GRTE01,Lano,Lano
GRTE01_20240630_220204,GRTE01,Lano,Lano
GRTE01_20240630_220424,GRTE01,Lano,Lano
GRTE01_20240630_221047,GRTE01,Lano,Lano
GRTE01_20240630_221401,GRTE01,Lano,Lano
GRTE01_20240630_221430,GRTE01,Lano,Lano
GRTE01_20240630_221630,GRTE01,Lano,Lano
GRTE01_20240630_221654,GRTE01,Myev,Myse
GRTE01_20240630_222627,GRTE01,Laci,Laci
GRTE01_20240630_223452,GRTE01,Laci,Laci
GRTE01_20240630_223554,GRTE01,Lano,Lano
GRTE01_20240630_223653,GRTE01,Lano,Lano
GRTE01_20240630_224036,GRTE01,Lano,Lano
GRTE01_20240630_224217,GRTE01,Lano,Lano
GRTE01_20240630_224340,GRTE01,Myev,Myse
GRTE01_20240630_225153,GRTE01,Lano,Lano
GRTE01_20240630_230012,GRTE01,Mylu,Mylu
GRTE01_20240630_230108,GRTE01,Mylu,Mylu
GRTE01_20240630_230129,GRTE01,Mylu,Mylu
GRTE01_20240630_230311,GRTE01,Mylu,Mylu
GRTE01_20240630_231155,GRTE01,Lano,Lano
GRTE01_20240630_231319,GRTE01,Laci,Laci
GRTE01_20240630_232141,GRTE01,Mylu,Mylu
GRTE01_20240630_232844,GRTE01,Lano,Lano
GRTE01_20240630_233215,GRTE01,Lano,Lano
GRTE01_20240630_233447,GRTE01,Lano,Lano
GRTE01_20240630_233934,GRTE01,Mylu,Mylu
GRTE01_20240630_234505,GRTE01,Lano,Lano
GRTE01_20240630_234839,GRTE01,Mylu,Mylu
GRTE01_20240630_235055,GRTE01,Mylu,Mylu
GRTE01_20240630_235113,GRTE01,Lano,Lano
GRTE01_20240630_235131,GRTE01,Lano,Lano
GRTE01_20240630_235156,GRTE01,Lano,Lano
GRTE01_20240630_235213,GRTE01,Lano,Lano
GRTE01_20240701_000344,GRTE01,Myev,Myse
GRTE01_20240701_000458,GRTE01,Lano,Epfu
