cat,rec_key,assigned_a,a_raw_spp,a_raw_prob,assigned_b,b_raw_spp,b_raw_prob
a_only,GRTE03_20240823_225545,Laci,Laci,0.99970000000000003,NoID,NA,NA
a_only,GRTE01_20240820_232434,Lano,Lano,1,NoID,Epfu/Lano,0.49/0.51
a_only,GRTE11_20240617_012443,Euma,Euma,1,NoID,NA,NA
agree_spp,GRTE03_20240903_224621,Laci,Laci,0.99960000000000004,Laci,Laci,0.99719999999999998
agree_spp,GRTE01_20240829_214648,Lano,Lano,1,Lano,Lano,1
agree_spp,GRTE01_20240823_003055,Lano,Lano,1,Lano,Lano,1
b_only,GRTE08_20240801_031904,NoID,NA,NA,Mylu,Mylu,0.95420000000000005
b_only,GRTE05_20240719_014522,NoID,NA,NA,Labo,Labo,0.99960000000000004
b_only,GRTE05_20240805_021111,NoID,NA,NA,Mylu,Mylu,1
both_noid,GRTE10_20240627_215118,NoID,NA,NA,NoID,NA,NA
both_noid,GRTE06_20240802_232903,NoID,NA,NA,NoID,NA,NA
both_noid,GRTE03_20240804_232714,NoID,NA,NA,NoID,NA,NA
disagree_spp,GRTE01_20240809_233859,Lano,Lano,1,Epfu,Epfu,1
disagree_spp,GRTE01_20240818_212853,Lano,Lano,1,Epfu,Epfu,1
disagree_spp,GRTE01_20240806_023109,Lano,Lano,1,Epfu,Epfu,1
